,cnv_correlation,facegs_cnv_purity_adjusted_correlation,rna_correlation,protein_correlation
L1a_L2d,0.811857,0.761148034,0.995286,0.63665
L1a_L2e,0.834534,0.831779431,0.915588,0.606064
L1a_L3a,0.841495,0.844555875,0.906509,0.590878
L3a_L2d,0.917627,0.849571011,0.90912,0.491459
L3a_L2e,0.839573,0.802766794,0.914801,0.676857
L2d_L2e,0.794067,0.733681422,0.919072,0.489104
L4a_L1a,0.819615,0.873820305,0.926398,0.77979
L4a_L2d,0.818623,0.736881099,0.93219,0.441364
L4a_L2e,0.80556,0.796290182,0.893097,0.539345
L4a_L3a,0.830499,0.82816614,0.84673,0.569084
