,cnv_correlation,facets_cnv_purity_adjusted_correlation,rna_correlation,protein_correlation
L2b_L2a,0.863916,0.899827601,0.970049,0.868823
L2b_L5d,0.788844,0.798175474,0.704871,0.383804
L2b_L1a,0.784343,0.785893873,0.975964,0.823891
L2b_L5c,0.772839,0.696767604,0.956793,0.603367
L2a_L5d,0.754142,0.888643307,0.695127,0.453164
L2a_L1a,0.809899,0.851024794,0.960706,0.897823
L2a_L5c,0.762934,0.630620997,0.928446,0.678564
L5d_L1a,0.859693,0.934070728,0.700738,0.590485
L5d_L5c,0.71135,0.796790565,0.71135,0.697429
L1a_L5c,0.859693,0.728967143,0.978779,0.73367
