sample_id	cluster_id	size	mean	std
RA000_L8b	0	583	0.996661727	0.005532776
RA000_L8b	1	1	0.510387224	0.209945593
RA000_L8b	2	48	0.167026469	0.023889132
RA000_L8b	3	1	0.415518455	0.240617571
RA000_L8b	4	1	0.50720695	0.22985115
RA000_L8b	5	1	0.372310985	0.210713455
RA000_L8b	6	1	0.381833054	0.212666427
RA000_L8b	7	1	0.414484738	0.192034772
RA000_L8b	8	1	0.504212827	0.228391143
RA000_L8b	9	1	0.457546874	0.221604911
RA000_L8b	10	1	0.38822623	0.253968059
RA000_L8b	11	1	0.425508535	0.239697479
RA000_L8b	12	1	0.492815	0.190378748
RA000_L8b	13	1	0.430699131	0.245893879
RA000_L8b	14	1	0.520780871	0.212153552
RA000_L8b	15	1	0.324887476	0.210184725
RA000_L8b	16	1	0.521982196	0.201665639
RA000_L8b	17	1	0.492815	0.190378748
RA000_L8b	18	1	0.509678706	0.213295315
RA000_L8b	19	1	0.348540597	0.229624575
RA000_L8b	20	1	0.443477604	0.235410443
RA000_L8b	21	1	0.492815	0.190378748
RA000_L8b	22	1	0.445645987	0.222245322
