sample_id	cluster_id	size	mean	std
RA003_L2d	0	208	0.16798243	0.007270302
RA003_L2d	1	1	0.657313784	0.216137886
RA003_L2d	2	1	0.666803073	0.250030188
RA003_L2d	3	1	0.604583348	0.208816443
RA003_L2d	4	23	0.982912996	0.017246568
RA003_L2d	5	1	0.567692315	0.235962551
RA003_L2d	6	1	0.488181455	0.345872189
RA003_L2d	7	1	0.503922243	0.317185297
RA003_L2d	8	1	0.524905251	0.322127455
RA003_L2d	9	1	0.579976449	0.268408898
RA003_L2d	10	1	0.566000149	0.255736545
RA003_L2d	11	1	0.612385499	0.214559988
RA003_L2d	12	1	0.555673666	0.317601906
RA003_L2d	13	1	0.540546004	0.248403087
RA003_L2d	14	1	0.587047786	0.222114559
RA003_L2d	15	1	0.548192413	0.251168215
RA003_L2d	16	1	0.608369667	0.227358026
RA003_L2d	17	1	0.63457883	0.22634254
RA003_L2d	18	1	0.618842452	0.2204064
RA003_L2d	19	1	0.534419304	0.299309757
RA003_L2d	20	1	0.628255447	0.20793709
RA003_L2d	21	1	0.665045017	0.208832109
RA003_L2d	22	1	0.52920559	0.241116836
RA003_L2d	23	1	0.564899626	0.23267135
RA003_L2d	24	1	0.570058976	0.263411039
RA003_L2d	25	1	0.652954927	0.185428793
RA003_L2d	26	1	0.578981668	0.241257166
RA003_L2d	27	1	0.576980823	0.220059649
RA003_L2d	28	1	0.63738206	0.193983829
RA003_L2d	29	1	0.570753878	0.260872431
RA003_L2d	30	1	0.537241455	0.326240747
RA003_L2d	31	1	0.627046316	0.278999368
RA003_L2d	32	1	0.634818777	0.280028795
RA003_L2d	33	1	0.572804799	0.245168319
RA003_L2d	34	1	0.472959938	0.302577401
RA003_L2d	35	1	0.693044803	0.209974463
RA003_L2d	36	1	0.563717958	0.229623982
RA003_L2d	37	1	0.612212431	0.289388607
RA003_L2d	38	1	0.683653902	0.111609548
RA003_L2d	39	1	0.550151046	0.32607954
RA003_L2d	40	1	0.671647613	0.179033882
RA003_L2d	41	1	0.639114861	0.193571345
RA003_L2d	42	1	0.559070816	0.227349399
RA003_L2d	43	1	0.60402207	0.199684406
RA003_L2d	44	1	0.632612009	0.284282316
RA003_L2d	45	1	0.57999761	0.27301961
RA003_L2d	46	1	0.531994185	0.328039314
RA003_L2d	47	1	0.449088855	0.28392025
RA003_L2d	48	1	0.639610636	0.239316044
RA003_L2d	49	1	0.519944181	0.22274355
RA003_L2d	50	1	0.588110595	0.222212733
RA003_L2d	51	1	0.488688333	0.30308168
RA003_L2d	52	1	0.598943025	0.236037219
RA003_L2d	53	1	0.568598509	0.264096676
RA003_L2d	54	1	0.628789709	0.22460828
RA003_L2d	55	1	0.643945923	0.197469864
