sample_id	cluster_id	size	mean	std
RA003_L2e	0	212	0.737674879	0.014272884
RA003_L2e	1	1	0.489480514	0.265593559
RA003_L2e	2	2	0.666045807	0.227716567
RA003_L2e	3	40	0.283501946	0.026957238
RA003_L2e	4	1	0.63384009	0.231609196
RA003_L2e	5	1	0.554650327	0.249214385
RA003_L2e	6	1	0.53365426	0.272132375
RA003_L2e	7	1	0.531339963	0.26292853
RA003_L2e	8	1	0.568629545	0.260333264
RA003_L2e	9	49	0.992157305	0.01028231
RA003_L2e	10	1	0.49640027	0.298529945
RA003_L2e	11	1	0.594054678	0.268118246
RA003_L2e	12	1	0.561329116	0.228646777
RA003_L2e	13	2	0.591191908	0.196805309
RA003_L2e	14	1	0.574785735	0.261625816
RA003_L2e	15	1	0.616398709	0.233319043
RA003_L2e	16	34	0.522518209	0.035126381
RA003_L2e	17	1	0.575226518	0.238085217
RA003_L2e	18	1	0.469181988	0.262842469
RA003_L2e	19	1	0.638872749	0.233863446
RA003_L2e	20	1	0.488653278	0.277899077
RA003_L2e	21	1	0.534502606	0.282588428
RA003_L2e	22	1	0.529876137	0.280000797
RA003_L2e	23	1	0.486784929	0.291729472
RA003_L2e	24	1	0.631858496	0.236621204
RA003_L2e	25	1	0.461463025	0.285638301
RA003_L2e	26	1	0.552349966	0.257182962
RA003_L2e	27	1	0.50295908	0.267205089
RA003_L2e	28	1	0.551694004	0.252622219
RA003_L2e	29	1	0.48293779	0.262252097
RA003_L2e	30	1	0.532420108	0.297472049
RA003_L2e	31	1	0.536961751	0.275740102
RA003_L2e	32	1	0.503185235	0.271948575
RA003_L2e	33	1	0.450107027	0.29009351
RA003_L2e	34	1	0.571109431	0.262720201
RA003_L2e	35	1	0.47628834	0.301976848
RA003_L2e	36	1	0.549232486	0.237678883
RA003_L2e	37	1	0.592696709	0.27369341
RA003_L2e	38	1	0.587588774	0.272736179
RA003_L2e	39	1	0.485636867	0.258318271
RA003_L2e	40	1	0.534788297	0.248631549
RA003_L2e	41	1	0.496781169	0.277141419
RA003_L2e	42	1	0.473430592	0.313495167
RA003_L2e	43	1	0.55371681	0.283353183
RA003_L2e	44	1	0.640965927	0.23773111
RA003_L2e	45	1	0.47628834	0.301976848
RA003_L2e	46	1	0.57371604	0.252849998
RA003_L2e	47	1	0.600761045	0.21666015
RA003_L2e	48	1	0.572386037	0.266357285
RA003_L2e	49	1	0.506123914	0.288740479
RA003_L2e	50	1	0.565744754	0.266865442
RA003_L2e	51	1	0.489186381	0.254201721
RA003_L2e	52	1	0.646308041	0.239941925
RA003_L2e	53	1	0.533314503	0.27160743
RA003_L2e	54	1	0.642843018	0.238628743
RA003_L2e	55	1	0.477559676	0.258466668
RA003_L2e	56	1	0.634962896	0.230363797
RA003_L2e	57	1	0.571832361	0.262673409
RA003_L2e	58	1	0.48293779	0.262252097
RA003_L2e	59	1	0.465288691	0.264743387
RA003_L2e	60	1	0.632943423	0.228065863
RA003_L2e	61	1	0.566314992	0.255375504
RA003_L2e	62	1	0.564285694	0.288411869
RA003_L2e	63	1	0.454181533	0.275661034
RA003_L2e	64	1	0.534788297	0.248631549
RA003_L2e	65	1	0.575880962	0.229596964
RA003_L2e	66	1	0.635320616	0.238248965
RA003_L2e	67	1	0.599801098	0.274321384
RA003_L2e	68	1	0.41950395	0.291460215
RA003_L2e	69	1	0.460342866	0.284105239
RA003_L2e	70	2	0.686264826	0.253589294
RA003_L2e	71	1	0.554054087	0.222925113
RA003_L2e	72	1	0.584971175	0.265147863
RA003_L2e	73	2	0.564441726	0.191811262
RA003_L2e	74	1	0.594689493	0.236341914
RA003_L2e	75	1	0.593868519	0.269538284
RA003_L2e	76	1	0.597650889	0.238500476
RA003_L2e	77	1	0.551911594	0.248339212
RA003_L2e	78	2	0.675324329	0.235701327
RA003_L2e	79	1	0.49678225	0.263040841
RA003_L2e	80	1	0.584153951	0.236245032
RA003_L2e	81	1	0.615786212	0.211628345
RA003_L2e	82	1	0.572667398	0.271374842
RA003_L2e	83	1	0.6360472	0.221211191
RA003_L2e	84	1	0.530894075	0.277633813
RA003_L2e	85	1	0.640148291	0.240654505
RA003_L2e	86	1	0.487148197	0.278726208
RA003_L2e	87	1	0.559164783	0.245121628
RA003_L2e	88	1	0.532423629	0.266866768
RA003_L2e	89	1	0.490737344	0.299481732
RA003_L2e	90	1	0.521442174	0.272750414
RA003_L2e	91	1	0.499716016	0.276068222
RA003_L2e	92	1	0.457124115	0.262477179
RA003_L2e	93	1	0.454731346	0.307239161
RA003_L2e	94	1	0.636931191	0.235215908
RA003_L2e	95	1	0.56477848	0.249590627
RA003_L2e	96	1	0.602360681	0.220512898
RA003_L2e	97	1	0.472398728	0.31121488
RA003_L2e	98	1	0.591275842	0.201403644
RA003_L2e	99	1	0.539738321	0.279833691
RA003_L2e	100	1	0.544081474	0.280817287
RA003_L2e	101	1	0.634844383	0.222331471
