sample_id	cluster_id	size	mean	std
RA003_L3a	0	211	0.194755621	0.010952242
RA003_L3a	1	1	0.669946738	0.21357872
RA003_L3a	2	1	0.685860194	0.206482934
RA003_L3a	3	1	0.61311512	0.215976786
RA003_L3a	4	9	0.984876111	0.01724758
RA003_L3a	5	3	0.3682342	0.076013286
RA003_L3a	6	1	0.758686258	0.150185309
RA003_L3a	7	1	0.588577415	0.2406145
RA003_L3a	8	1	0.42399822	0.235009551
RA003_L3a	9	1	0.319453514	0.149454693
RA003_L3a	10	1	0.688349076	0.202117749
RA003_L3a	11	2	0.537512633	0.147974174
RA003_L3a	12	1	0.588413065	0.214533441
RA003_L3a	13	1	0.462648522	0.260819916
RA003_L3a	14	1	0.592899235	0.226753815
RA003_L3a	15	1	0.588577415	0.2406145
RA003_L3a	16	1	0.711545562	0.192062124
RA003_L3a	17	1	0.604836817	0.241259207
RA003_L3a	18	1	0.6221554	0.240148256
RA003_L3a	19	1	0.698201325	0.264909282
RA003_L3a	20	1	0.561327968	0.230686168
RA003_L3a	21	1	0.623341414	0.24566936
RA003_L3a	22	1	0.717692432	0.200158217
RA003_L3a	23	1	0.609529868	0.247932939
RA003_L3a	24	1	0.505699211	0.176306818
RA003_L3a	25	1	0.690071617	0.171369004
RA003_L3a	26	1	0.608163652	0.240183062
RA003_L3a	27	1	0.709448073	0.151881621
RA003_L3a	28	1	0.535860556	0.324103312
RA003_L3a	29	1	0.619403078	0.207041289
RA003_L3a	30	1	0.534554388	0.233846317
RA003_L3a	31	1	0.637229276	0.202217924
RA003_L3a	32	1	0.379508526	0.181108565
RA003_L3a	33	1	0.736509685	0.155942018
RA003_L3a	34	1	0.458885949	0.299301744
RA003_L3a	35	1	0.389938503	0.222080441
RA003_L3a	36	1	0.476035823	0.259610084
RA003_L3a	37	1	0.660281786	0.19306106
RA003_L3a	38	1	0.491029331	0.269034025
RA003_L3a	39	1	0.605719214	0.253911303
RA003_L3a	40	1	0.521928243	0.19371512
RA003_L3a	41	1	0.530477292	0.300103358
RA003_L3a	42	1	0.441282518	0.273266643
RA003_L3a	43	1	0.63697326	0.239275662
RA003_L3a	44	1	0.59392829	0.191785586
RA003_L3a	45	1	0.613990886	0.181673951
RA003_L3a	46	1	0.709528208	0.165700709
RA003_L3a	47	1	0.665095172	0.259123261
RA003_L3a	48	1	0.59490476	0.231860643
