sample_id	cluster_id	size	mean	std
RA004_K1	0	1	0.408196149	0.145959117
RA004_K1	1	216	0.992005508	0.009201231
RA004_K1	2	1	0.416316852	0.15634456
RA004_K1	3	1	0.473061001	0.194730284
RA004_K1	4	1	0.600378204	0.198652583
RA004_K1	5	1	0.30835869	0.158042814
RA004_K1	6	3	0.193880229	0.060764865
RA004_K1	7	1	0.452188164	0.239586104
RA004_K1	8	1	0.600082038	0.19981657
RA004_K1	9	1	0.63465861	0.127846457
RA004_K1	10	1	0.534264874	0.205990743
RA004_K1	11	1	0.538782932	0.185424793
RA004_K1	12	1	0.467667684	0.221506605
RA004_K1	13	1	0.463234971	0.162296161
RA004_K1	14	1	0.483977032	0.125711111
