sample_id	cluster_id	size	mean	std
RA004_L1c	0	202	0.998606139	0.003830597
RA004_L1c	1	1	0.267649968	0.139438946
RA004_L1c	2	1	0.244717798	0.100827801
RA004_L1c	3	1	0.395951549	0.146285982
RA004_L1c	4	1	0.320480656	0.152447079
RA004_L1c	5	1	0.261442716	0.163419019
RA004_L1c	6	1	0.334794889	0.139597091
RA004_L1c	7	1	0.51484123	0.120944072
RA004_L1c	8	1	0.426533142	0.246705631
RA004_L1c	9	1	0.531592864	0.215221609
RA004_L1c	10	1	0.3860803	0.148124216
RA004_L1c	11	1	0.475001315	0.271869926
RA004_L1c	12	1	0.358925627	0.150723047
RA004_L1c	13	1	0.507535294	0.253091423
RA004_L1c	14	1	0.488861477	0.175877524
RA004_L1c	15	1	0.279024976	0.146556692
RA004_L1c	16	1	0.269938797	0.149775248
RA004_L1c	17	1	0.530504856	0.122204026
RA004_L1c	18	1	0.487795599	0.223615003
RA004_L1c	19	1	0.317864594	0.145487531
RA004_L1c	20	1	0.401575792	0.150390284
RA004_L1c	21	1	0.419916521	0.175821483
RA004_L1c	22	1	0.395447383	0.134979339
RA004_L1c	23	1	0.533452443	0.221758081
RA004_L1c	24	1	0.572812995	0.177926416
RA004_L1c	25	1	0.547648695	0.188946313
RA004_L1c	26	1	0.539846939	0.183548874
RA004_L1c	27	1	0.158126802	0.062354641
RA004_L1c	28	1	0.323160935	0.231028105
RA004_L1c	29	1	0.401566822	0.225704695
RA004_L1c	30	1	0.425888855	0.223635372
RA004_L1c	31	1	0.714409219	0.119888782
RA004_L1c	32	1	0.444043105	0.19603792
RA004_L1c	33	1	0.562409579	0.205701008
RA004_L1c	34	1	0.522035119	0.171079075
RA004_L1c	35	1	0.530414022	0.219258906
