sample_id	cluster_id	size	mean	std
RA004_Li1a	0	210	0.983548201	0.011172632
RA004_Li1a	1	1	0.711274599	0.10533554
RA004_Li1a	2	1	0.497235055	0.11470659
RA004_Li1a	3	1	0.263861876	0.127669828
RA004_Li1a	4	1	0.424340005	0.211144868
RA004_Li1a	5	1	0.288461497	0.126402449
RA004_Li1a	6	1	0.761597003	0.079960079
RA004_Li1a	7	1	0.647116432	0.190092619
RA004_Li1a	8	4	0.175724282	0.033800729
RA004_Li1a	9	1	0.545907607	0.254464771
RA004_Li1a	10	1	0.338819552	0.187510864
RA004_Li1a	11	1	0.42261149	0.174446459
RA004_Li1a	12	1	0.47025053	0.207739033
RA004_Li1a	13	1	0.629326243	0.194113759
RA004_Li1a	14	1	0.676997361	0.110920305
RA004_Li1a	15	1	0.569644313	0.186823822
RA004_Li1a	16	1	0.512802335	0.158445928
RA004_Li1a	17	1	0.423101303	0.158179766
RA004_Li1a	18	1	0.5377283	0.19937547
RA004_Li1a	19	1	0.453381145	0.223146907
RA004_Li1a	20	1	0.320623797	0.159087992
RA004_Li1a	21	1	0.500243147	0.115292273
RA004_Li1a	22	1	0.516683296	0.235620808
RA004_Li1a	23	1	0.366480425	0.14307581
RA004_Li1a	24	1	0.52419202	0.208656418
