sample_id	cluster_id	size	mean	std
RA004_Li1b	0	213	0.980361009	0.010763131
RA004_Li1b	1	20	0.157856216	0.020601669
RA004_Li1b	2	1	0.497635662	0.261496393
RA004_Li1b	3	1	0.474552122	0.24603628
RA004_Li1b	4	1	0.477663319	0.267083307
RA004_Li1b	5	1	0.605570221	0.199220796
RA004_Li1b	6	1	0.617134266	0.202665466
RA004_Li1b	7	1	0.462362284	0.15268276
RA004_Li1b	8	1	0.281522212	0.143437414
RA004_Li1b	9	1	0.451249705	0.172478397
RA004_Li1b	10	1	0.501827583	0.171388335
RA004_Li1b	11	1	0.473406898	0.188881912
RA004_Li1b	12	3	0.686156238	0.058261231
RA004_Li1b	13	1	0.576255281	0.204420691
RA004_Li1b	14	1	0.400010289	0.159567376
RA004_Li1b	15	1	0.501277041	0.192695356
RA004_Li1b	16	1	0.515540684	0.172146955
RA004_Li1b	17	1	0.453496095	0.160889769
RA004_Li1b	18	1	0.498534439	0.237783394
RA004_Li1b	19	1	0.338155024	0.121830931
RA004_Li1b	20	1	0.290480897	0.147479077
RA004_Li1b	21	1	0.529807321	0.262511477
RA004_Li1b	22	1	0.514001074	0.188391852
RA004_Li1b	23	1	0.311119834	0.206051304
RA004_Li1b	24	1	0.476378933	0.153019561
RA004_Li1b	25	2	0.369569467	0.060433813
RA004_Li1b	26	1	0.533226803	0.226976058
RA004_Li1b	27	1	0.52450804	0.272382719
RA004_Li1b	28	1	0.352714867	0.136487974
RA004_Li1b	29	1	0.369969858	0.173987819
RA004_Li1b	30	1	0.512407429	0.212304402
RA004_Li1b	31	1	0.52977693	0.216750817
RA004_Li1b	32	1	0.369389913	0.125200089
RA004_Li1b	33	1	0.53574725	0.186642247
RA004_Li1b	34	1	0.461614214	0.247794906
RA004_Li1b	35	1	0.484891416	0.202751243
RA004_Li1b	36	1	0.554001264	0.203388657
RA004_Li1b	37	1	0.314724285	0.126627241
RA004_Li1b	38	1	0.637205298	0.191713462
