sample_id	cluster_id	size	mean	std
RA006_Li3c	0	108	0.990615107	0.009026452
RA006_Li3c	1	1	0.329190623	0.106093138
RA006_Li3c	2	1	0.247531832	0.095425965
RA006_Li3c	3	1	0.243421003	0.095979717
RA006_Li3c	4	1	0.342766124	0.122050977
RA006_Li3c	5	1	0.307873866	0.080367536
RA006_Li3c	6	1	0.318932196	0.109958702
RA006_Li3c	7	1	0.447839691	0.143147321
RA006_Li3c	8	15	0.106735243	0.013611801
RA006_Li3c	9	1	0.664810845	0.202587729
RA006_Li3c	10	1	0.311586872	0.165235203
RA006_Li3c	11	1	0.587060841	0.209513024
RA006_Li3c	12	1	0.28349964	0.086999175
RA006_Li3c	13	3	0.496715148	0.040313699
RA006_Li3c	14	1	0.587060841	0.209513024
RA006_Li3c	15	1	0.503708934	0.16298679
RA006_Li3c	16	1	0.263430766	0.107106887
RA006_Li3c	17	1	0.629325244	0.141441057
RA006_Li3c	18	1	0.420623104	0.192114699
RA006_Li3c	19	1	0.395305272	0.083163546
RA006_Li3c	20	1	0.73667692	0.101722902
RA006_Li3c	21	1	0.60933579	0.148052912
RA006_Li3c	22	1	0.56430812	0.176817589
RA006_Li3c	23	1	0.644353773	0.191840507
RA006_Li3c	24	1	0.584195926	0.195625861
