tcga_id,TP53status,hypermutator,signature2_13
TCGA-55-6968,TP53_Mutant,1,18.27295511
TCGA-95-7947,TP53_Mutant,1,12.89605893
TCGA-05-4382,TP53_Mutant,1,11.77257809
TCGA-05-4410,TP53_Mutant,1,9.707015682
TCGA-78-7155,TP53_Mutant,1,7.697529764
TCGA-55-7570,TP53_Mutant,0,5.97493956
TCGA-05-4402,TP53_Mutant,0,5.84
TCGA-69-7765,TP53_Mutant,0,4.985904291
TCGA-95-7039,TP53_Mutant,0,4.87725546
TCGA-62-8394,TP53_Mutant,0,4.07
TCGA-50-5935,TP53_WT,0,3.6
TCGA-78-7147,TP53_Mutant,0,3.54
TCGA-55-6979,TP53_Mutant,0,3.421615896
TCGA-78-7158,TP53_WT,0,2.895007687
TCGA-55-8506,TP53_Mutant,0,2.667365222
TCGA-38-4629,TP53_Mutant,0,2.629719091
TCGA-50-6595,TP53_Mutant,0,2.4
TCGA-50-5066,TP53_Mutant,0,2.27
TCGA-38-4628,TP53_WT,0,2.108545166
TCGA-86-A4P7,TP53_Mutant,0,2.07
TCGA-44-6147,TP53_Mutant,0,1.989839705
TCGA-64-1681,TP53_Mutant,0,1.97
TCGA-91-6835,TP53_WT,0,1.73
TCGA-75-6207,TP53_Mutant,0,1.7
TCGA-MP-A4T6,TP53_WT,0,1.6
TCGA-49-4490,TP53_Mutant,0,1.53
TCGA-93-A4JP,TP53_Mutant,0,1.5
TCGA-97-8177,TP53_WT,0,1.44
TCGA-J2-8192,TP53_WT,0,1.37
TCGA-86-8671,TP53_WT,0,1.36
TCGA-97-8547,TP53_Mutant,0,1.33
TCGA-91-6847,TP53_Mutant,0,1.33
TCGA-49-4501,TP53_WT,0,1.3
TCGA-49-4494,TP53_WT,0,1.118374578
TCGA-55-8096,TP53_Mutant,0,1.101644409
TCGA-05-5423,TP53_Mutant,0,1.094949283
TCGA-44-2661,TP53_WT,0,1.03
TCGA-50-5944,TP53_Mutant,0,1
TCGA-38-6178,TP53_Mutant,0,1
TCGA-50-6673,TP53_Mutant,0,0.96
TCGA-67-6217,TP53_WT,0,0.93
TCGA-MP-A4SW,TP53_WT,0,0.9
TCGA-55-7573,TP53_Mutant,0,0.83
TCGA-97-A4M7,TP53_WT,0,0.790850508
TCGA-O1-A52J,TP53_Mutant,0,0.708517416
TCGA-86-8074,TP53_Mutant,0,0.67
TCGA-97-A4M1,TP53_Mutant,0,0.67
TCGA-55-6981,TP53_WT,0,0.66
TCGA-62-8402,TP53_Mutant,0,0.64
TCGA-75-7025,TP53_WT,0,0.63
TCGA-71-6725,TP53_WT,0,0.63
TCGA-67-3770,TP53_Mutant,0,0.611620776
TCGA-97-8172,TP53_Mutant,0,0.609820022
TCGA-MP-A4T9,TP53_Mutant,0,0.6
TCGA-69-7760,TP53_Mutant,0,0.57
TCGA-50-6591,TP53_Mutant,0,0.57
TCGA-44-A4SU,TP53_Mutant,0,0.564521305
TCGA-62-A46U,TP53_Mutant,0,0.56
TCGA-55-8087,TP53_WT,0,0.56
TCGA-67-3772,TP53_WT,0,0.54
TCGA-55-8206,TP53_WT,0,0.5
TCGA-55-A48Z,TP53_Mutant,0,0.47
TCGA-86-8055,TP53_Mutant,0,0.47
TCGA-86-8668,TP53_WT,0,0.46
TCGA-86-8075,TP53_Mutant,0,0.43
TCGA-91-8496,TP53_WT,0,0.36
TCGA-97-A4M6,TP53_WT,0,0.33
TCGA-97-8552,TP53_WT,0,0.33
TCGA-86-8280,TP53_Mutant,0,0.3
TCGA-62-8397,TP53_WT,0,0
TCGA-97-8171,TP53_WT,0,0
TCGA-75-6212,TP53_WT,0,0
TCGA-38-4627,TP53_WT,0,0
TCGA-44-5645,TP53_Mutant,0,0
TCGA-55-6980,TP53_WT,0,0
TCGA-55-A57B,TP53_Mutant,0,0
TCGA-L9-A50W,TP53_WT,0,0
TCGA-55-A4DF,TP53_Mutant,1,24.07538145
TCGA-55-8089,TP53_Mutant,1,20.23435261
TCGA-67-3771,TP53_Mutant,1,19.12775267
TCGA-93-8067,TP53_Mutant,1,18.89421162
TCGA-MN-A4N4,TP53_Mutant,1,18.77771929
TCGA-NJ-A4YP,TP53_WT,1,16.80733868
TCGA-78-7539,TP53_WT,1,13.98425206
TCGA-55-8208,TP53_Mutant,1,13.65291747
TCGA-49-6743,TP53_WT,1,13.33
TCGA-55-A48Y,TP53_WT,1,12.2
TCGA-62-8399,TP53_Mutant,1,11.67
TCGA-75-6214,TP53_Mutant,1,11.33490213
TCGA-55-7907,TP53_Mutant,1,10.97471667
TCGA-86-A4JF,TP53_Mutant,1,10.94458658
TCGA-91-6830,TP53_WT,1,10.84665261
TCGA-50-6590,TP53_Mutant,1,10.83999796
TCGA-69-7978,TP53_Mutant,1,10.61128729
TCGA-69-7980,TP53_Mutant,1,10.34381758
TCGA-78-7150,TP53_Mutant,1,10.34
TCGA-05-4397,TP53_Mutant,1,10.08449886
TCGA-86-6851,TP53_Mutant,1,9.988477619
TCGA-55-8205,TP53_Mutant,1,9.943528985
