"chromosome"	"start.pos"	"end.pos"	"Bf"	"N.BAF"	"sd.BAF"	"depth.ratio"	"N.ratio"	"sd.ratio"	"CNt"	"A"	"B"	"LPP"
"chr1"	13868	752894	0.217218446079915	16	0.151206136890449	1.28159350194966	741	2.6084313329268	5	4	1	-6.74355451138544
"chr1"	762273	2583672	0.420620619506816	313	0.0775913131370671	0.831507327536734	18816	0.227685823745877	2	1	1	-6.75662985987211
"chr1"	2583700	3079501	0.26855400504059	36	0.162245461207824	0.750712680989638	686	0.329219442762805	2	1	1	-7.16203997107645
"chr1"	3312664	12856273	0.434620571815853	538	0.0658593079746491	0.815406840343124	39615	0.23487758757313	2	1	1	-6.83645901543782
"chr1"	12888289	13424455	0.335030406933443	110	0.121267570285722	0.802048086708772	1587	0.215579784379905	2	1	1	-6.94092366369591
"chr1"	13427729	17275072	0.378464518309025	655	0.101232858478537	0.837031035220285	18445	0.252148163923542	2	1	1	-6.80007742707848
"chr1"	17301225	26797508	0.424234281595064	607	0.0716397289586876	0.809701889951948	46303	0.225078006194198	2	1	1	-6.77849584400992
"chr1"	26801758	26801881	0.225858115655311	10	0.0450985340978815	1.14792164296687	17	0.120011519054974	9	7	2	-6.74443456250354
"chr1"	26802193	120547747	0.429610486643556	2133	0.0721816584550329	0.808572214665731	248824	0.253412865106723	2	1	1	-6.90576702824289
"chr1"	120572806	121312687	0.310433254116671	32	0.104679541705211	1.00306511619277	1128	0.520856356626562	3	2	1	-6.83280677792794
"chr1"	121351905	121478973	0.319329120080291	110	0.120295044916764	0.58486004043639	595	0.162577765277458	2	1	1	-7.34534517470207
"chr1"	121479302	121484271	0.196496502033867	23	0.128434739122399	0.527591414981309	355	0.152607005299116	5	4	1	-6.94980090429965
"chr1"	121484441	121485416	0.406181552916966	23	0.0641602181794759	0.625831627087522	928	0.0432598537474245	2	1	1	-6.75550646547876
"chr1"	142535490	148022889	0.31389179155609	877	0.125508501305985	1.1233841585704	23283	0.450856291612865	3	2	1	-6.80579979040851
